T,rho,en,P
2.0,0.1,-0.6666602828987424,0.17832172823986076
2.0,0.2,-1.3091123477224715,0.3331789644089331
2.0,0.3,-1.9340210585002657,0.49328165975743393
2.0,0.4,-2.5425688422355104,0.7330374850777667
2.0,0.5,-3.1477362389515227,1.1181492437385667
2.0,0.6,-3.7498343387335424,1.814132912351223
2.0,0.7,-4.295541372601509,3.15211123260616
2.0,0.8,-4.742010099179434,5.459906626691749
2.0,0.9,-5.039515569931941,9.237065371957716
1.5,0.1,-0.737641765981607,0.11614308110923377
1.5,0.2,-1.4318462694221397,0.18379736712622374
1.5,0.3,-2.0685791852175264,0.2316806029460561
1.5,0.4,-2.710338418479312,0.29843038725783644
1.5,0.5,-3.3211249442177664,0.4521721484890383
1.5,0.6,-3.954893119738338,0.8257078471348724
1.5,0.7,-4.585047179327075,1.6725721452698301
1.5,0.8,-5.115645024969384,3.4382420065557744
1.5,0.9,-5.508568324636898,6.56335199999304
1.4,0.1,-0.7674849436993407,0.10350047743582381
1.4,0.2,-1.480389970132297,0.1526975840955331
1.4,0.3,-2.131744145454249,0.1813819727082784
1.4,0.4,-2.7434943470809223,0.21588055620882254
1.4,0.5,-3.3643537405537987,0.3090087443040018
1.4,0.6,-4.0098385528537985,0.6205348761642708
1.4,0.7,-4.6409231130577435,1.368272387715611
1.4,0.8,-5.206359015009388,2.965032310012113
1.4,0.9,-5.6242698919252465,5.9218339491617575
1.3,0.1,-0.7916518918062108,0.09118887615082294
1.3,0.2,-1.5664220606405386,0.12200414170029089
1.3,0.3,-2.225866506908698,0.1314386453820847
1.3,0.4,-2.8013630687359377,0.13310725501337356
1.3,0.5,-3.417052915692189,0.16748372722145183
1.3,0.6,-4.052914005077379,0.41244668498943704
1.3,0.7,-4.700234515150828,1.0629505190190667
1.3,0.8,-5.2806096126330395,2.5422225114444674
1.3,0.9,-5.7279050861326315,5.345238582817623
1.2,0.1,-0.8492462674642797,0.07781527047475242
1.2,0.2,-1.6376775349149661,0.09244296716265617
1.2,0.3,-2.34128755286131,0.07197672497599558
1.2,0.4,-2.8810523097058947,0.048511002130548944
1.2,0.5,-3.467479320829908,0.04869208723890062
1.2,0.6,-4.100047951494518,0.20344295581911576
1.2,0.7,-4.754458924957597,0.7537829600326861
1.2,0.8,-5.368611669096406,2.0720491273474617
1.2,0.9,-5.823471889222917,4.784687106863645
1.1,0.1,-0.9110915013685722,0.06366542361015214
1.1,0.2,-1.8100571271863417,0.05914080631251482
1.1,0.3,-2.5106574315897525,0.024747347297321698
1.1,0.4,-3.0730102914645454,-0.012379373939019868
1.1,0.5,-3.5529197214656216,-0.07695945571931385
1.1,0.6,-4.150641835183389,-0.011814408843328975
1.1,0.7,-4.824547961632237,0.4213978842964996
1.1,0.8,-5.45162235108416,1.6108102951355336
1.1,0.85,-5.7053357426427675,2.7280860243683875
1.1,0.9,-5.939113582087898,4.126632866413307
0.9,0.1,-1.6781442328261085,0.025629901267085028
0.9,0.2,-2.489661780838281,-0.002006856389847288
0.9,0.3,-3.14277220140123,-0.08299971107539861
0.9,0.4,-3.546911565017232,-0.1498307386010815
0.9,0.5,-3.8943076471847213,-0.2520492056785912
0.9,0.6,-4.3063393950114435,-0.4070412289153389
0.9,0.7,-4.965763418477254,-0.24729968973216745
0.9,0.725,-5.120826001231744,-0.07436318067912011
0.9,0.75,-5.302368069069275,0.07105627611733732
0.9,0.775,-5.459593023457622,0.34862996584545736
0.9,0.8,-5.6171088346370395,0.7062287239713101
0.9,0.825,-5.781911580931213,1.010539906028741
0.9,0.85,-5.920155770019565,1.5364668709937193
0.9,0.875,-6.043306763205814,2.163825441439139
0.9,0.9,-6.161148211619372,2.852464400577788
1.1,0.65,-4.486696566506693,0.1592176570737775
1.1,0.675,-4.652221916425465,0.24905670569659205
1.1,0.725,-4.989930441933386,0.637708264881846
1.1,0.75,-5.146825364840318,0.8852332415289821
0.9,0.05,-0.5394802627473577,0.030742610014834564
1.1,0.775,-5.299507695274024,1.2365514598153786
1.1,0.825,-5.574183713122895,2.166131931501846
1.3,0.35,-2.50992588553695,0.12466250869246337
1.2,0.35,-2.5892754610947506,0.05999243851585054
1.2,0.45,-3.1853035326954906,0.04596661162186806
1.2,0.55,-3.7834379476067115,0.11095998321826717
1.2,0.65,-4.435712437245487,0.3805193893741164
1.2,0.75,-5.072253237757189,1.274707056866344
1.3,0.45,-3.085000345592086,0.12587696306632493
1.3,0.55,-3.720274654309194,0.25728963239098285
1.3,0.65,-4.3856802340230105,0.6433742938126188
1.7,0.1,-0.7045666620132158,0.1408598440291042
1.7,0.2,-1.3726974864912667,0.24325578228241956
1.7,0.3,-2.003303612106199,0.33747118238229934
1.7,0.4,-2.6236226428064207,0.45530030607873634
1.7,0.5,-3.2501964019638243,0.7313014548781419
1.7,0.6,-3.8730323234213677,1.207606521965656
1.7,0.7,-4.465919574287433,2.2516571994284966
1.7,0.8,-4.963079931054064,4.266262014617715
1.7,0.9,-5.316140096599901,7.67342048044951
